id;text;ipa_text;sound_file;usage_sound_file;alt_ipa_text;alt_sound_file;alt_usage_sound_file
1;Cuban Peso Peso Convertible;USB visionary;integrated Executive invoice;Incredible Legacy Functionality;Communications neural-net;Borders deposit mobile;yellow
2;Pizza;Russian Federation;Integration;override payment;deposit Mozambique Personal Loan Account;Executive engineer;green navigate
3;Optimization Auto Loan Account Nicaragua;Syrian Pound Avon magenta;redundant Global;intranet syndicate deposit;Soft Communications;Associate;motivating copy
4;Concrete Michigan deposit;dynamic white interface;Auto Loan Account;Switchable withdrawal;Rwanda Franc Vietnam Idaho;Ergonomic Ergonomic;experiences
5;Sleek payment sensor;Chips action-items;Fantastic Keys empower;Balanced Roads Borders;innovate;overriding Shoes e-markets;Savings Account
6;quantify Creative Shirt;application Regional card;Ohio;Officer Analyst;Ergonomic Steel Pizza matrix;Montana calculating;infomediaries sky blue Front-line
7;dot-com portals;Consultant;Technician Handcrafted;Square Buckinghamshire optimal;indexing Oregon;Tuna;Administrator
8;application indexing visualize;Falkland Islands Pound;Ukraine;Auto Loan Account;Macao responsive Home;Handcrafted Sports Sleek;Bridge
9;black Refined Books;bus olive Intelligent Wooden Chips;bluetooth;Hat neural quantifying;Chair recontextualize Naira;Refined Steel Pizza;teal generate
10;Sleek Wooden Soap open-source iterate;Handcrafted embrace;Roads SCSI Chips;Arizona;Automotive dot-com Principal;customer loyalty JBOD Moldova;Soft
